image_id,fname,5K,Distancing
112,112.jpg,1,1
113,113.jpg,1,1
114,114.jpg,1,1
115,115.jpg,1,1
116,116.jpg,1,1
117,117.jpg,1,1
118,118.jpg,0,1
119,119.jpg,1,1
120,120.jpg,0,1
121,121.jpg,1,1
122,122.jpg,1,1
123,123.jpg,1,1
124,124.jpg,1,1
125,125.jpg,1,1
126,126.jpg,1,1
127,127.jpg,0,1
128,128.jpg,1,1
129,129.jpg,0,1
130,130.jpg,1,1
131,131.jpg,0,1
132,132.jpg,1,1
133,133.jpg,0,1
134,134.jpg,1,1
135,135.jpg,0,1
136,136.jpg,1,1
137,137.jpg,1,1
138,138.jpg,1,1
139,139.jpg,1,1
140,140.jpg,0,1
141,141.jpg,1,1
142,142.jpg,0,1
143,143.jpg,1,1
144,144.jpg,1,1
145,145.jpg,0,1
146,146.jpg,1,1
147,147.jpg,1,1
148,148.jpg,1,1
149,149.jpg,1,1
150,150.jpg,1,1
151,151.jpg,1,1
152,152.jpg,1,1
153,153.jpg,0,1
154,154.jpg,1,1
155,155.jpg,1,1
156,156.jpg,1,1
157,157.jpg,1,1
158,158.jpg,0,1
159,159.jpg,1,1
160,160.jpg,1,1
161,161.jpg,1,1
162,162.jpg,1,1
163,163.jpg,1,1
164,164.jpg,1,1
165,165.jpg,1,1
166,166.jpg,1,1
167,167.jpg,1,1
168,168.jpg,0,1
169,169.jpg,1,1
170,170.jpg,0,1
171,171.jpg,0,1
172,172.jpg,1,1
173,173.jpg,1,1
174,174.jpg,1,1
175,175.jpg,1,1
176,176.jpg,1,1
177,177.jpg,1,1
178,178.jpg,1,1
179,179.jpg,0,1
180,180.jpg,1,1
181,181.jpg,1,1
182,182.jpg,1,1
183,183.jpg,1,1
184,184.jpg,1,1
185,185.jpg,1,1
186,186.jpg,1,1
187,187.jpg,1,1
188,188.jpg,1,1
189,189.jpg,0,1
190,190.jpg,1,1
191,191.jpg,0,1
192,192.jpg,1,1
193,193.jpg,1,1
194,194.jpg,0,1
195,195.jpg,0,1
196,196.jpg,1,1
197,197.jpg,0,1
198,198.jpg,1,1
199,199.jpg,1,1
200,200.jpg,0,1
201,201.jpg,1,1
202,202.jpg,1,1
203,203.jpg,1,1
204,204.jpg,1,1
205,205.jpg,1,1
206,206.jpg,1,1
207,207.jpg,0,1
208,208.jpg,0,1
209,209.jpg,1,1
210,210.jpg,1,1
211,211.jpg,0,1
212,212.jpg,1,1
213,213.jpg,1,1
214,214.jpg,0,1
215,215.jpg,0,1
216,216.jpg,1,1
217,217.jpg,0,1
218,218.jpg,0,1
219,219.jpg,1,1
220,220.jpg,0,1
221,221.jpg,1,1
222,222.jpg,1,1
223,223.jpg,1,1
224,224.jpg,1,1
225,225.jpg,0,1
226,226.jpg,1,1
227,227.jpg,1,1
228,228.jpg,1,1
229,229.jpg,1,1
230,230.jpg,1,1
231,231.jpg,0,1
232,232.jpg,1,1
233,233.jpg,0,1
234,234.jpg,1,1
235,235.jpg,1,1
236,236.jpg,1,1
237,237.jpg,1,1
238,238.jpg,1,1
239,239.jpg,1,1
240,240.jpg,1,1
241,241.jpg,1,1
242,242.jpg,0,1
243,243.jpg,1,1
244,244.jpg,0,1
245,245.jpg,0,1
246,246.jpg,1,1
247,247.jpg,1,1
248,248.jpg,1,1
249,249.jpg,0,1
250,250.jpg,0,1
251,251.jpg,1,1
252,252.jpg,1,1
253,253.jpg,0,1
254,254.jpg,1,1
255,255.jpg,0,1
256,256.jpg,0,1
257,257.jpg,0,1
258,258.jpg,1,1
259,259.jpg,1,1
260,260.jpg,1,1
261,261.jpg,1,1
262,262.jpg,0,1
263,263.jpg,1,1
264,264.jpg,1,1
265,265.jpg,1,1
266,266.jpg,1,1
267,267.jpg,1,1
268,268.jpg,1,1
269,269.jpg,1,1
270,270.jpg,0,1
271,271.jpg,1,1
272,272.jpg,0,1
273,273.jpg,1,1
274,274.jpg,1,1
275,275.jpg,0,1
276,276.jpg,1,1
277,277.jpg,1,1
278,278.jpg,1,1
279,279.jpg,1,1
280,280.jpg,0,1
281,281.jpg,1,1
282,282.jpg,0,1
283,283.jpg,1,1
284,284.jpg,1,1
285,285.jpg,1,1
286,286.jpg,1,1
287,287.jpg,1,1
288,288.jpg,0,1
289,289.jpg,1,1
290,290.jpg,0,1
291,291.jpg,1,1
292,292.jpg,1,1
293,293.jpg,1,1
294,294.jpg,0,1
295,295.jpg,0,1
296,296.jpg,1,1
297,297.jpg,1,1
298,298.jpg,1,1
299,299.jpg,0,1
300,300.jpg,1,1
301,301.jpg,1,1
302,302.jpg,0,1
303,303.jpg,1,1
304,304.jpg,1,1
305,305.jpg,1,1
306,306.jpg,1,1
307,307.jpg,1,1
308,308.jpg,1,1
309,309.jpg,0,1
310,310.jpg,0,1
311,311.jpg,1,1
312,312.jpg,1,1
313,313.jpg,1,1
314,314.jpg,0,1
315,315.jpg,1,1
316,316.jpg,0,1
317,317.jpg,1,1
318,318.jpg,1,1
319,319.jpg,0,1
320,320.jpg,1,1
321,321.jpg,1,1
322,322.jpg,1,1
323,323.jpg,0,1
324,324.jpg,1,1
325,325.jpg,1,1
326,326.jpg,0,1
327,327.jpg,0,1
328,328.jpg,0,1
329,329.jpg,1,1
330,330.jpg,1,1
331,331.jpg,1,1
332,332.jpg,0,1
333,333.jpg,0,1
334,334.jpg,1,1
335,335.jpg,1,1
336,336.jpg,1,1
337,337.jpg,1,1
338,338.jpg,1,1
339,339.jpg,1,1
340,340.jpg,0,1
341,341.jpg,0,1
342,342.jpg,1,1
343,343.jpg,1,1
344,344.jpg,0,1
345,345.jpg,1,1
346,346.jpg,0,1
347,347.jpg,1,1
348,348.jpg,0,1
349,349.jpg,1,1
350,350.jpg,0,1
351,351.jpg,0,1
352,352.jpg,1,1
353,353.jpg,1,1
354,354.jpg,1,1
355,355.jpg,0,1
356,356.jpg,0,1
357,357.jpg,1,1
358,358.jpg,0,1
359,359.jpg,0,1
360,360.jpg,1,1
361,361.jpg,1,1
362,362.jpg,1,1
363,363.jpg,1,1
364,364.jpg,1,1
365,365.jpg,1,1
366,366.jpg,1,1
367,367.jpg,0,1
368,368.jpg,1,1
369,369.jpg,1,1
370,370.jpg,1,1
371,371.jpg,0,1
372,372.jpg,1,1
373,373.jpg,0,1
374,374.jpg,1,1
375,375.jpg,1,1
376,376.jpg,0,1
377,377.jpg,0,1
378,378.jpg,0,1
379,379.jpg,0,1
380,380.jpg,1,1
381,381.jpg,1,1
382,382.jpg,1,1
383,383.jpg,0,1
384,384.jpg,1,1
385,385.jpg,1,1
386,386.jpg,1,1
387,387.jpg,1,1
388,388.jpg,1,1
389,389.jpg,1,1
390,390.jpg,1,1
391,391.jpg,1,1
392,392.jpg,0,1
393,393.jpg,0,1
394,394.jpg,0,1
395,395.jpg,1,1
396,396.jpg,1,1
397,397.jpg,0,1
398,398.jpg,1,1
399,399.jpg,1,1
400,400.jpg,1,1
401,401.jpg,0,1
402,402.jpg,0,1
403,403.jpg,1,1
404,404.jpg,1,1
405,405.jpg,0,1
406,406.jpg,1,1
407,407.jpg,1,1
408,408.jpg,0,1
409,409.jpg,1,1
410,410.jpg,1,1
411,411.jpg,0,1
412,412.jpg,1,1
413,413.jpg,0,1
414,414.jpg,1,1
415,415.jpg,0,1
416,416.jpg,0,1
417,417.jpg,1,1
418,418.jpg,1,1
419,419.jpg,1,1
420,420.jpg,1,1
421,421.jpg,1,1
422,422.jpg,0,1
423,423.jpg,1,1
424,424.jpg,0,1
425,425.jpg,1,1
426,426.jpg,1,1
427,427.jpg,0,1
428,428.jpg,1,1
429,429.jpg,1,1
430,430.jpg,1,1
431,431.jpg,1,1
432,432.jpg,1,1
433,433.jpg,0,1
434,434.jpg,1,1
435,435.jpg,0,1
436,436.jpg,1,1
437,437.jpg,1,1
438,438.jpg,0,1
439,439.jpg,1,1
440,440.jpg,1,1
441,441.jpg,0,1
442,442.jpg,1,1
443,443.jpg,0,1
444,444.jpg,1,1
445,445.jpg,1,1
446,446.jpg,1,1
447,447.jpg,1,1
448,448.jpg,0,1
449,449.jpg,1,1
450,450.jpg,1,1
451,451.jpg,1,1
452,452.jpg,1,1
453,453.jpg,1,1
454,454.jpg,1,1
455,455.jpg,1,1
456,456.jpg,0,1
457,457.jpg,1,1
458,458.jpg,1,1
459,459.jpg,1,1
460,460.jpg,0,1
461,461.jpg,1,1
462,462.jpg,0,1
463,463.jpg,1,1
464,464.jpg,1,1
465,465.jpg,1,1
466,466.jpg,1,1
467,467.jpg,1,1
468,468.jpg,1,1
469,469.jpg,1,1
470,470.jpg,1,1
471,471.jpg,1,1
472,472.jpg,0,1
473,473.jpg,0,1
474,474.jpg,0,1
475,475.jpg,0,1
476,476.jpg,0,1
477,477.jpg,0,1
478,478.jpg,0,1
479,479.jpg,1,1
480,480.jpg,1,1
481,481.jpg,1,1
482,482.jpg,0,1
483,483.jpg,1,1
484,484.jpg,1,1
485,485.jpg,1,1
486,486.jpg,1,1
487,487.jpg,0,1
488,488.jpg,1,1
489,489.jpg,1,1
490,490.jpg,1,1
491,491.jpg,1,1
492,492.jpg,0,1
493,493.jpg,1,1
494,494.jpg,1,1
495,495.jpg,0,1
496,496.jpg,1,1
497,497.jpg,1,1
498,498.jpg,0,1
499,499.jpg,0,1
500,500.jpg,1,1
501,501.jpg,1,1
502,502.jpg,0,1
503,503.jpg,1,1
504,504.jpg,0,1
505,505.jpg,0,1
506,506.jpg,1,1
507,507.jpg,0,1
508,508.jpg,1,1
509,509.jpg,1,1
510,510.jpg,1,1
511,511.jpg,0,1
512,512.jpg,1,1
513,513.jpg,0,1
514,514.jpg,1,1
515,515.jpg,0,1
516,516.jpg,1,1
517,517.jpg,1,1
518,518.jpg,0,1
519,519.jpg,1,1
520,520.jpg,1,1
521,521.jpg,0,1
522,522.jpg,1,1
523,523.jpg,0,1
524,524.jpg,1,1
525,525.jpg,1,1
526,526.jpg,1,1
527,527.jpg,0,1
528,528.jpg,1,1
529,529.jpg,1,1
530,530.jpg,1,1
531,531.jpg,1,1
532,532.jpg,0,1
533,533.jpg,1,1
534,534.jpg,1,1
535,535.jpg,1,1
536,536.jpg,1,1
537,537.jpg,1,1
538,538.jpg,1,1
539,539.jpg,1,1
540,540.jpg,0,1
541,541.jpg,0,1
542,542.jpg,1,1
