image_id,fname,5K
523,523.jpg,0
524,524.jpg,1
525,525.jpg,1
526,526.jpg,1
527,527.jpg,0
528,528.jpg,1
529,529.jpg,1
530,530.jpg,1
531,531.jpg,1
532,532.jpg,0
533,533.jpg,1
534,534.jpg,1
535,535.jpg,1
536,536.jpg,1
537,537.jpg,0
538,538.jpg,0
539,539.jpg,1
540,540.jpg,0
541,541.jpg,0
542,542.jpg,1
